peak_frame,class_frame,time_s,front,toe_x,toe_y,heel_x,heel_y
3,1,0.1001,right,0.4726457595825195,0.7619585990905762,0.4351100921630859,0.7499908208847046
77,74,2.569233333333333,left,0.4859279692173004,0.7446229457855225,0.4502486288547516,0.7271096706390381
137,134,4.571233333333334,right,0.521527111530304,0.7350902557373047,0.4852497279644012,0.7332187294960022
149,146,4.971633333333333,right,0.4961325526237488,0.773044764995575,0.4490048289299011,0.7413493394851685
209,206,6.973633333333334,left,0.5198159217834473,0.7349547147750854,0.4790011048316955,0.7208200693130493
269,266,8.975633333333333,right,0.5379292368888855,0.7252212166786194,0.5006037950515747,0.7178663611412048
333,330,11.1111,left,0.5368516445159912,0.7050591707229614,0.4970720410346985,0.7036347985267639
396,393,13.2132,right,0.5349685549736023,0.713354229927063,0.499664157629013,0.711459755897522
460,457,15.348666666666666,left,0.5271864533424377,0.6903807520866394,0.4889169931411743,0.6935397386550903
526,523,17.550866666666668,right,0.5190460681915283,0.7111886739730835,0.4833148717880249,0.6998971700668335
591,588,19.7197,left,0.5273623466491699,0.7037381529808044,0.4901090264320373,0.7033248543739319
