peak_frame,class_frame,time_s,front,class,separation,toe_heel_contact,toe_x,toe_y,heel_x,heel_y,foot_length,threshold
3,1,0.1001,right,Toe,0.1392593383789062,Toe,0.4726457595825195,0.7619585990905762,0.4351100921630859,0.7499908208847046,0.03939738625603561,0.01
77,74,2.569233333333333,left,Toe,0.1315041482448578,Toe,0.4859279692173004,0.7446229457855225,0.4502486288547516,0.7271096706390381,0.03974581908909506,0.01
137,134,4.571233333333334,right,Flat,0.1422780156135559,Flat,0.521527111530304,0.7350902557373047,0.4852497279644012,0.7332187294960022,0.03632562688873402,0.01
149,146,4.971633333333333,right,Toe,0.11799812316894531,Toe,0.4961325526237488,0.773044764995575,0.4490048289299011,0.7413493394851685,0.05679456258172411,0.01
209,206,6.973633333333334,left,Toe,0.13134807348251343,Toe,0.5198159217834473,0.7349547147750854,0.4790011048316955,0.7208200693130493,0.04319302588546514,0.01
269,266,8.975633333333333,right,Flat,0.1416482329368592,Flat,0.5379292368888855,0.7252212166786194,0.5006037950515747,0.7178663611412048,0.03804316638145027,0.01
333,330,11.1111,left,Flat,0.13712221384048456,Flat,0.5368516445159912,0.7050591707229614,0.4970720410346985,0.7036347985267639,0.03980509627274097,0.01
396,393,13.2132,right,Flat,0.14014565944671625,Flat,0.5349685549736023,0.713354229927063,0.499664157629013,0.711459755897522,0.03535519061910498,0.01
460,457,15.348666666666666,left,Flat,0.13809087872505182,Flat,0.5271864533424377,0.6903807520866394,0.4889169931411743,0.6935397386550903,0.038399619532434676,0.01
526,523,17.550866666666668,right,Toe,0.14002791047096252,Toe,0.5190460681915283,0.7111886739730835,0.4833148717880249,0.6998971700668335,0.03747287628259398,0.01
591,588,19.7197,left,Flat,0.1435991525650025,Flat,0.5273623466491699,0.7037381529808044,0.4901090264320373,0.7033248543739319,0.03725561277094587,0.01
