frame,time_s,front,class,separation,toe_heel_contact,toe_x,toe_y,heel_x,heel_y
3,0.3252992630004883,right,Toe,0.1392593383789062,Toe,0.4709727764129638,0.7632079124450684,0.4337346255779266,0.7498490810394287
77,4.848313331604004,left,Toe,0.1315041482448578,Toe,0.4787693917751312,0.7432423233985901,0.4480593502521515,0.7283878326416016
137,9.080135107040403,right,Flat,0.1422780156135559,Flat,0.519680917263031,0.7455359101295471,0.4836612045764923,0.7366493940353394
149,9.82542324066162,right,Toe,0.11799812316894531,Toe,0.4980389773845672,0.7660203576087952,0.4577395915985107,0.7370591759681702
209,13.583858728408812,left,Toe,0.13134807348251343,Toe,0.5103422403335571,0.7383010387420654,0.4746592044830322,0.722057044506073
269,17.1700496673584,right,Toe,0.1416482329368592,Toe,0.5351083278656006,0.7317979335784912,0.499022513628006,0.7192546129226685
333,21.213281869888306,left,Flat,0.13712221384048456,Flat,0.5348998308181763,0.7144590616226196,0.4950599372386932,0.7046950459480286
396,25.36972594261169,right,Flat,0.14014565944671625,Flat,0.5338588953018188,0.7190018892288208,0.4974206984043121,0.7136885523796082
460,29.536388874053955,left,Flat,0.13809087872505182,Flat,0.5243226289749146,0.703361451625824,0.4862211644649505,0.6993306279182434
526,33.709110260009766,right,Toe,0.14002791047096252,Toe,0.5163376331329346,0.7132265567779541,0.4816041886806488,0.7012122273445129
591,38.01088309288025,left,Flat,0.1435991525650025,Flat,0.5233750343322754,0.7056379914283752,0.4874626100063324,0.7044218182563782
