peak_frame,class_frame,front,contact_type,foot_length,threshold,vertical_diff,ankle_heel_offset
3,1,right,Heel,0.04392333377159267,0.01,-0.015726566314697266,-0.027694344520568848
77,74,left,Heel,0.041661121558274256,0.01,-0.011484026908874512,-0.028997302055358887
137,134,right,Heel,0.0467126565516288,0.01,-0.024857640266418457,-0.026729166507720947
149,146,right,Flat,0.05432356586215906,0.01,0.0035559535026550293,-0.028139472007751465
209,206,left,Heel,0.04700016000799572,0.01,-0.015993714332580566,-0.0301283597946167
269,266,right,Heel,0.0465951814511137,0.01,-0.02471703290939331,-0.03207188844680786
333,330,left,Heel,0.04943950772794624,0.01,-0.02908015251159668,-0.03050452470779419
396,393,right,Heel,0.046707297834412694,0.01,-0.02814692258834839,-0.030041396617889404
460,457,left,Heel,0.05194224088977194,0.01,-0.03554338216781616,-0.032384395599365234
526,523,right,Heel,0.04237067293522231,0.01,-0.01925349235534668,-0.03054499626159668
591,588,left,Heel,0.04877691087878391,0.01,-0.030619502067565918,-0.031032800674438477
